Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2019,A,0,UIS based on UIS based on AGO - LFS - Employment Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,24,M,Y15T64,PT,2025-03-05T00:00:00,2022,24.44155
2021,A,0,UIS based on UIS based on AGO - LFS - Employment Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,24,M,Y15T64,PT,2025-03-05T00:00:00,2022,23.84936
2022,A,0,UIS based on UIS based on AGO - LFS - Employment Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,24,M,Y15T64,PT,2025-03-05T00:00:00,2022,20.92852
2004,A,0,UIS based on UIS based on AGO - LFS - Employment Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,24,M,Y25T54,PT,2025-03-05T00:00:00,2022,11.5
2009,A,0,UIS based on UIS based on AGO - LFS - Employment Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,24,M,Y25T54,PT,2025-03-05T00:00:00,2022,9.5
2011,A,0,UIS based on UIS based on AGO - LFS - Employment Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,24,M,Y25T54,PT,2025-03-05T00:00:00,2022,15.77524
2014,A,0,UIS based on UIS based on AGO - LFS - Employment Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,24,M,Y25T54,PT,2025-03-05T00:00:00,2022,13.5645
2019,A,0,UIS based on UIS based on AGO - LFS - Employment Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,24,M,Y25T54,PT,2025-03-05T00:00:00,2022,5.9553
2021,A,0,UIS based on UIS based on AGO - LFS - Employment Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,24,M,Y25T54,PT,2025-03-05T00:00:00,2022,4.77086
2022,A,0,UIS based on UIS based on AGO - LFS - Employment Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,24,M,Y25T54,PT,2025-03-05T00:00:00,2022,3.55462
2004,A,0,UIS based on UIS based on AGO - LFS - Employment Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Unreliable - Low reliability Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,24,M,Y55T64,PT,2025-03-05T00:00:00,2022,2.2
2009,A,0,UIS based on UIS based on AGO - LFS - Employment Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Unreliable - Low reliability Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,24,M,Y55T64,PT,2025-03-05T00:00:00,2022,1.1
2011,A,0,UIS based on UIS based on AGO - LFS - Employment Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Unreliable - Low reliability Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,24,M,Y55T64,PT,2025-03-05T00:00:00,2022,3.76669
2014,A,0,UIS based on UIS based on AGO - LFS - Employment Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Unreliable - Low reliability Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,24,M,Y55T64,PT,2025-03-05T00:00:00,2022,6.12544
2019,A,0,UIS based on UIS based on AGO - LFS - Employment Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Unreliable - Low reliability Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,24,M,Y55T64,PT,2025-03-05T00:00:00,2022,1.33986
2022,A,0,UIS based on UIS based on AGO - LFS - Employment Survey; Repository: ILO-STATISTICS - Micro data processing - Age coverage - minimum age: 15 years old - Age coverage - maximum age: None - Unreliable - Low reliability Data extracted on 25 February 2025.,SE_ADT_EDUCTRN,24,M,Y55T64,PT,2025-03-05T00:00:00,2022,0.43722
