Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,CUST_BREAKDOWN_LB,Value
2019,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,24,C340,None,T,2024-05-16T00:00:00,2010-2022,Honduras,4.0
2020,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,24,C340,None,T,2024-05-16T00:00:00,2010-2022,Honduras,7.0
2021,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,24,C340,None,T,2024-05-16T00:00:00,2010-2022,Honduras,5.0
2022,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,24,C340,None,T,2024-05-16T00:00:00,2010-2022,Honduras,5.0
2017,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,24,C372,None,T,2024-05-16T00:00:00,2010-2022,Ireland,8.0
2018,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,24,C372,None,T,2024-05-16T00:00:00,2010-2022,Ireland,10.0
2019,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,24,C372,None,T,2024-05-16T00:00:00,2010-2022,Ireland,8.0
2020,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,24,C372,None,T,2024-05-16T00:00:00,2010-2022,Ireland,7.0
2021,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,24,C372,None,T,2024-05-16T00:00:00,2010-2022,Ireland,6.0
2022,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,24,C372,None,T,2024-05-16T00:00:00,2010-2022,Ireland,5.0
2017,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,24,C384,None,T,2024-05-16T00:00:00,2010-2022,Côte d'Ivoire,752.0
2018,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,24,C384,None,T,2024-05-16T00:00:00,2010-2022,Côte d'Ivoire,621.0
2019,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,24,C384,None,T,2024-05-16T00:00:00,2010-2022,Côte d'Ivoire,550.0
