Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,COMMENT_OBS,Value
2013,A,0,"International Monetary Fund, International Financial Statistics and data files.",FI_RES_TOTL_MO,24,RO,2025-03-19T00:00:00,2023,,6.28848630390088
2014,A,0,"International Monetary Fund, International Financial Statistics and data files.",FI_RES_TOTL_MO,24,RO,2025-03-19T00:00:00,2023,,5.14629092203124
2015,A,0,"International Monetary Fund, International Financial Statistics and data files.",FI_RES_TOTL_MO,24,RO,2025-03-19T00:00:00,2023,,6.48204569064841
2016,A,0,"International Monetary Fund, International Financial Statistics and data files.",FI_RES_TOTL_MO,24,RO,2025-03-19T00:00:00,2023,,9.08387120490078
2017,A,0,"International Monetary Fund, International Financial Statistics and data files.",FI_RES_TOTL_MO,24,RO,2025-03-19T00:00:00,2023,,5.81818691844856
2018,A,0,"International Monetary Fund, International Financial Statistics and data files.",FI_RES_TOTL_MO,24,RO,2025-03-19T00:00:00,2023,,5.41264015408643
2019,A,0,"International Monetary Fund, International Financial Statistics and data files.",FI_RES_TOTL_MO,24,RO,2025-03-19T00:00:00,2023,,6.42509428996664
2020,A,0,"International Monetary Fund, International Financial Statistics and data files.",FI_RES_TOTL_MO,24,RO,2025-03-19T00:00:00,2023,,8.02614772310755
2021,A,0,"International Monetary Fund, International Financial Statistics and data files.",FI_RES_TOTL_MO,24,RO,2025-03-19T00:00:00,2023,,6.94915414648974
2022,A,0,"International Monetary Fund, International Financial Statistics and data files.",FI_RES_TOTL_MO,24,RO,2025-03-19T00:00:00,2023,,4.3768328674863
2023,A,0,"International Monetary Fund, International Financial Statistics and data files.",FI_RES_TOTL_MO,24,RO,2025-03-19T00:00:00,2023,,5.08927113560435
2000,A,0,"International Monetary Fund, International Financial Statistics and data files.",FM_LBL_BMNY_IR_ZS,24,RO,2025-03-19T00:00:00,2023,,1.31666538964821
2001,A,0,"International Monetary Fund, International Financial Statistics and data files.",FM_LBL_BMNY_IR_ZS,24,RO,2025-03-19T00:00:00,2023,,2.58066856998633
