Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2004,A,3,3560.4,2502.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,24,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,1291.5
2005,A,3,3560.4,2502.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,24,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,1275.1
2006,A,3,3560.4,2502.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,24,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,1265.7
2007,A,3,3560.4,2502.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,24,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,1263.0
2008,A,3,3560.4,2502.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,24,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,1270.4
2009,A,3,3560.4,2502.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,24,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,1295.3
2010,A,3,3560.4,2502.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,24,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,1335.1
2011,A,3,3560.4,2502.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,24,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,1389.8
2012,A,3,3560.4,2502.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,24,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,1463.5
2013,A,3,3560.4,2502.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,24,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,1556.4
